,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3546,CHEMBL265464,6493.0,nM,OC(c1ccccc1)c1nc(C(F)(F)F)nc2ccccc12,5.187554597127244,304.082347632,3,1,3.7303000000000024,True
3547,CHEMBL328214,6500.0,nM,Cn1c(=O)ccc2c(O)cc(-c3ccccc3)nc21,5.187086643357144,252.089877624,4,1,2.3061,True
3548,CHEMBL374320,6520.0,nM,CCCCCc1ccc(C#Cc2nc(NOC)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)cc1,5.185752404268079,467.21686902799996,10,4,1.5435999999999996,True
3549,CHEMBL94830,6530.0,nM,Oc1nc2ccc(Cl)cc2n2nc(-c3cccs3)nc12,5.185086818724926,302.0029095240001,6,1,3.365000000000001,True
3550,CHEMBL172,6553.0,nM,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,5.183559832043861,378.116682452,3,2,4.447900000000003,True
3551,CHEMBL564883,6560.0,nM,O[C@@H]1CO[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@@H]1O,5.18309616062434,345.123717592,8,3,0.8280999999999998,True
3552,CHEMBL212458,6570.0,nM,COc1ccc(-n2nc3c(N(C(=O)c4ccccc4)C(=O)c4ccccc4)nc4ccccc4n3c2=O)cc1,5.18243463044022,515.159354152,8,0,4.529200000000004,True
3553,CHEMBL3400161,6600.0,nM,O=C(CC1CCCN1)Nc1ccc(C(=O)Nc2nccs2)cc1,5.180456064458131,330.11504681599996,5,3,2.476,True
3554,CHEMBL4439605,6625.0,nM,Nc1nc(N/N=C/c2ccc(N3CCCC3)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.178814117391155,454.2077013119999,12,5,0.06619999999999954,True
3555,CHEMBL374242,6660.0,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O,5.176525770829699,438.16516780399996,10,4,-0.04530000000000112,True
3556,CHEMBL100876,6680.0,nM,Nc1nc(-c2cnn(CCCC3CCCCC3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.175223537524454,457.2437524719999,11,4,1.2439999999999993,True
3557,CHEMBL206090,6707.0,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4=CCCCC4)nc32)[C@H](O)[C@@H]1O,5.173471693659348,440.217203376,9,4,0.8652999999999991,True
3560,CHEMBL1269899,6770.0,nM,COCCCn1c(N)nc2cc(C(=O)NCc3cccc(OC)c3)ccc21,5.169411331314856,368.18484062799996,6,2,2.5935999999999995,True
3561,CHEMBL197030,6780.0,nM,CC(=O)Nc1ccc2c(O)c(C(=O)NCc3ccccc3)cnc2n1,5.168770306132936,336.1222403720001,5,3,2.2237999999999998,True
3562,CHEMBL332969,6800.0,nM,O=c1[nH]c2ccccc2n2c(=O)n(-c3ccc(O)cc3)nc12,5.167491087293763,294.07529018,6,2,1.0322999999999998,True
3563,CHEMBL512025,6818.0,nM,CN(C)c1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,5.166343003107128,298.077598688,5,0,3.7001000000000026,True
3564,CHEMBL3679380,6830.0,nM,OC[C@H]1OC(n2cnc3c(NC4CCC[C@@H]4OCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,5.165579296318468,567.0978669320001,10,4,1.5921999999999998,True
3565,CHEMBL4102630,6830.0,nM,Cc1cc(C)n(C[C@H]2O[C@@H](n3cnc4c(Nc5ccc(Cl)cc5F)ncnc43)[C@H](O)[C@@H]2O)n1,5.165579296318468,473.137843432,10,3,2.4951399999999997,True
3566,CHEMBL522434,6870.0,nM,COc1ccc(O)c(CNc2nc(Cl)nc3c2ncn3[C@H]2[C@H](O)[C@H](O)[C@@H]3C[C@@H]32)c1,5.16304326294045,417.12038179999996,9,4,1.7185999999999995,True
3567,CHEMBL65976,6900.0,nM,Cn1cnc2c(N)ncnc21,5.161150909262744,149.070145224,5,1,-0.054500000000000104,True
3568,CHEMBL599481,6900.0,nM,Nc1c(C(=O)Nc2ccc(Cl)cc2)sc2ncccc12,5.161150909262744,303.02331062,4,2,3.784200000000001,True
3569,CHEMBL1834573,6930.0,nM,Cn1cc2c(nc(N)n3nc(-c4ccc(C(F)(F)F)cc4)nc23)n1,5.159266765388193,333.09497798,7,1,2.279,True
3570,CHEMBL407351,6940.0,nM,CN1C(=O)C2C(c3ncccc3N2C)N(C)C1=O,5.158640529545146,246.111675688,4,0,0.46489999999999987,True
3571,CHEMBL4160242,6980.0,nM,Cc1ccccc1-c1nc2c(NC3CCCC3)ncnc2n1C,5.156144577376839,307.17969567200004,5,1,3.693220000000002,True
3572,CHEMBL2261733,7000.0,nM,O=C1CC(c2ccccc2)Cc2[nH]c(=O)c(S(=O)(=O)c3ccccc3)cc21,5.154901959985743,379.08782902400003,4,1,3.120400000000001,True
3573,CHEMBL97665,7000.0,nM,Cc1ccc2c(N(C)C)cc(-c3ccccc3)nc2n1,5.154901959985743,263.142247544,3,0,3.6712200000000017,True
3574,CHEMBL573032,7030.0,nM,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NC)nc(C#Cc4ccc(OC)cc4)nc32)[C@H](O)[C@@H]1O,5.153044674980176,438.16516780399996,10,4,-0.35840000000000105,True
3575,CHEMBL603870,7040.0,nM,C#CCCCCC#Cc1nc(NCc2cccc(Cl)c2)c2ncn([C@H]3[C@H](O)[C@H](O)[C@]4(C(=O)NC)C[C@H]34)c2n1,5.152427340857888,532.198966468,8,4,2.6657,True
3576,CHEMBL104,7136.0,nM,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.146545158631934,344.10802622400007,2,0,5.376700000000004,True
3577,CHEMBL198769,7140.0,nM,Cc1ccc2c(O)c(CC(=O)NC3CCCCC3)cnc2n1,5.146301788223825,299.16337691200005,4,2,2.6352200000000003,True
3578,CHEMBL456256,7140.0,nM,O=C(c1ccccc1)c1sc(N(CCc2cccs2)Cc2ccccc2)nc1-c1ccco1,5.146301788223825,470.112269944,6,0,6.944900000000005,True
