,molecule_chembl_id,Ki,units,smiles,pKi
90,CHEMBL4442908,0.59,nM,NCCC(=O)Nc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,9.229147988357855
91,CHEMBL4212278,0.6,nM,Cn1c(=O)n(CCN2CCN(c3ccc(C#N)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,9.221848749616356
92,CHEMBL240847,0.6,nM,Nc1nc2c(cnn2CCN2CCN(c3ccc(OCCOC4CC4)cc3)CC2)c2nc(-c3ccco3)nn12,9.221848749616356
93,CHEMBL401321,0.6,nM,CC(=O)Nc1cc(-n2cccn2)nc(-c2ccco2)n1,9.221848749616356
94,CHEMBL4216716,0.6,nM,COCCOc1c(F)cc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1F,9.221848749616356
95,CHEMBL400215,0.6,nM,Nc1nc2c(cnn2CCN2CCN(c3ccccc3F)CC2)c2nc(-c3ccco3)nn12,9.221848749616356
96,CHEMBL17127,0.6,nM,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,9.221848749616356
97,CHEMBL401242,0.6,nM,Nc1nc2c(cnn2CCN2CCN(c3ccc(F)c(F)c3F)CC2)c2nc(-c3ccco3)nn12,9.221848749616356
98,CHEMBL3951425,0.6,nM,COc1cccc2c(C(=O)NCc3nc(C(C)(C)O)ccc3C)nc(N)nc12,9.221848749616356
99,CHEMBL241109,0.6,nM,Nc1nc2c(cnn2CCN2CCN(c3ccc(F)cc3F)CC2)c2nc(-c3ccco3)nn12,9.221848749616356
100,CHEMBL486745,0.6,nM,COc1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1F,9.221848749616356
101,CHEMBL240625,0.6,nM,Nc1nc2c(cnn2CCN2CCN(c3ccc(OCCO)cc3)CC2)c2nc(-c3ccco3)nn12,9.221848749616356
102,CHEMBL240846,0.6,nM,COCCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.221848749616356
103,CHEMBL487572,0.61,nM,CC(=O)Nc1cc(-c2cccc(N(C)C)n2)nc(-n2nc(C)cc2C)n1,9.214670164989233
104,CHEMBL473440,0.7,nM,COCCOc1ccc(N2CCN(CCN(CCOC)c3cc4nc(-c5ccco5)nn4c(N)n3)CC2)cc1,9.154901959985743
105,CHEMBL253528,0.7,nM,Cc1cc(OCC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)cc(C)n1,9.154901959985743
106,CHEMBL403845,0.7,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CN)c3)nc(-c3ccc(C)o3)n2)n1,9.154901959985743
107,CHEMBL517886,0.7,nM,Nc1nc(-c2ccco2)c2nnn(Cc3ccc(N)c(F)c3)c2n1,9.154901959985743
108,CHEMBL480380,0.7,nM,COCCOc1ccc(N2CCN(CCN(C)c3cc4nc(-c5cccc(C#N)c5)nn4c(N)n3)CC2)cc1,9.154901959985743
109,CHEMBL3763830,0.7,nM,Nc1nc(C(=O)NCc2cccc3cccnc23)c2cccc(Br)c2n1,9.154901959985743
110,CHEMBL1093018,0.7,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1ccccc1I,9.154901959985743
111,CHEMBL4212740,0.7,nM,COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1F,9.154901959985743
112,CHEMBL486162,0.71,nM,CC(=O)Nc1cc(-c2cccc(N3CCN(C)CC3)n2)nc(-n2nc(C)cc2C)n1,9.148741651280925
113,CHEMBL485972,0.72,nM,COCCN(C)c1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)n1,9.142667503568731
114,CHEMBL315150,0.78,nM,CC(C)CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,9.10790539730952
115,CHEMBL3977457,0.8,nM,COc1cccc(CNC(=O)c2nc(N)nc3c(OC)cccc23)n1,9.096910013008056
116,CHEMBL360241,0.8,nM,CC(C)c1ccc2c(c1)-c1nc(N)nc(-c3ccc(Br)o3)c1C2,9.096910013008056
117,CHEMBL113142,0.8,nM,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,9.096910013008056
118,CHEMBL512337,0.8,nM,COCCOc1ccc(N2CCN(CCN(CC3CC3)c3cc4nc(-c5ccco5)nn4c(N)n3)CC2)cc1,9.096910013008056
119,CHEMBL255951,0.8,nM,Cc1cc(C)n(-c2cc(NC(=O)Cc3ccc(CN4CCOCC4)cc3)nc(-c3ccc(C)o3)n2)n1,9.096910013008056
120,CHEMBL22717,0.8,nM,Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12,9.096910013008056
121,CHEMBL334336,0.8,nM,Nc1nc(N[C@@H]2CCC[C@H]2O)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,9.096910013008056
122,CHEMBL145623,0.8,nM,CC(C)=CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,9.096910013008056
